serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
71,600080,金花股份,27437.06,231.1832,5257.90,19.1635,59862.95,22986.83,83.7802,7.50,5000.00,,5000.00,-807.67,-2.9437,2022FY,2022
73,600080,金花股份,3793.82,-21.5571,-3439.13,-90.6508,26076.05,7788.41,205.2920,16600.00,5811.10,9900.00,9900.00,-555.45,-14.6409,2023HY,2023
74,600080,金花股份,690.22,-87.3799,-1194.93,-173.1231,40935.38,-4851.47,-702.8875,16600.00,5811.10,17540.54,9900.00,6736.62,976.0105,2023Q3,2023
75,600080,金花股份,18709.41,-31.8097,6054.84,32.3625,57651.81,13776.09,73.6319,16600.00,13989.00,17540.54,17540.54,-1121.52,-5.9944,2023FY,2023
77,600080,金花股份,-31716.65,-936.0083,-2309.94,7.2831,27037.58,-17797.80,56.1150,16600.00,,29823.49,25568.04,-11608.91,36.6019,2024HY,2024
78,600080,金花股份,-36311.51,-5360.8603,-75.87,0.2089,41534.55,-24629.12,67.8273,16600.00,,29823.49,25568.04,-11606.52,31.9637,2024Q3,2024
79,600080,金花股份,-21946.99,14.5173,-12136.85,55.3007,9777.89,-13257.47,60.4068,21.28,,13630.79,9139.51,3447.33,-15.7075,2025Q1,2025
80,600080,金花股份,-28181.22,-250.6259,1085.87,-3.8532,58578.83,-19230.36,68.2382,16600.00,13989.00,97152.56,93701.12,-10036.73,35.6150,2024FY,2024
81,600080,金花股份,-19918.76,37.1978,-8093.34,40.6317,22712.56,-9293.52,46.6571,21.28,,15215.88,15215.88,-2531.90,12.7111,2025HY,2025
82,600080,金花股份,-10245.32,71.7849,-5772.13,56.3392,38132.20,-5310.38,51.8323,21.28,,79713.33,76934.48,837.18,-8.1713,2025Q3,2025
83,000999,华润三九,-4192.98,92.7580,300637.50,,1757791.71,-247920.03,,567592.78,409187.06,59369.39,46218.41,-57545.27,,2022FY,2022
84,000999,华润三九,207463.27,458.4265,30116.69,14.5166,585737.76,125222.16,60.3587,274.50,19991.99,76840.92,23839.38,52174.59,25.1488,2023Q1,2023
85,000999,华润三九,376419.92,664.6621,305017.51,81.0312,2014736.85,25679.48,6.8220,106774.50,93637.86,329553.62,161006.14,45163.00,11.9980,2023Q3,2023
86,000999,华润三九,363277.30,211.6695,177192.48,48.7761,1332634.65,85975.61,23.6667,8274.50,36331.51,281231.44,71966.67,99538.56,27.4002,2023HY,2023
87,000999,华润三九,385367.69,9290.7829,419174.29,108.7726,2748566.69,-79349.80,-20.5907,318199.56,222863.58,357809.10,183629.33,45042.47,11.6882,2023FY,2023
88,000999,华润三九,50896.81,-75.4671,78657.82,154.5437,680020.20,-25070.34,-49.2572,101601.68,85737.08,12434.17,10575.26,-2633.37,-5.1739,2024Q1,2024
89,000999,华润三九,-81831.62,-121.7394,320426.77,-391.5684,1990001.95,-208923.84,255.3094,571242.35,419216.64,71140.43,98256.98,-193337.28,236.2623,2024Q3,2024
90,000999,华润三九,-105970.89,-129.1708,236311.48,-222.9966,1385627.22,-191083.48,180.3170,396601.68,233689.54,50140.01,50240.14,-151226.72,142.7059,2024HY,2024
91,000999,华润三九,-135393.58,-135.1336,440219.94,-325.1409,2794703.58,-113040.96,83.4906,783242.35,750826.20,100678.36,268151.41,-462860.22,341.8628,2024FY,2024
92,000999,华润三九,124748.81,145.1014,97985.51,78.5462,734222.79,-183784.79,-147.3239,246202.09,212237.97,228202.53,14224.92,210537.50,168.7691,2025Q1,2025
93,000999,华润三九,-83870.44,-2.4915,292535.98,-348.7951,2335187.18,-536497.43,639.6740,757064.48,718912.05,521166.34,253380.38,160481.91,-191.3450,2025Q3,2025
94,000999,华润三九,-11215.23,89.4167,286019.49,,1668886.89,-552719.59,,476636.03,407355.97,399264.39,90731.36,255498.68,,2025HY,2025
