serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
73,600080,金花股份,3345.95,284.2433,156.88,57937.45,8.4897,13797.00,34655.92,6317.60,-290.81,1549.32,1127.28,57156.30,1711.14,4790.10,-15.71,-917.50,2022FY,2022
75,600080,金花股份,304.26,-85.8291,3.18,25536.95,-1.2948,6114.85,14704.35,3515.78,-74.51,523.33,453.91,25237.72,2203.53,385.97,-7.19,835.77,2023HY,2023
76,600080,金花股份,339.03,-89.3485,22.24,40280.50,-4.8081,9291.42,24088.99,5162.78,-157.37,886.03,686.47,39958.31,2055.67,193.60,,640.42,2023Q3,2023
77,600080,金花股份,-4289.06,-228.1866,93.34,56540.34,-2.4114,13375.20,34243.07,7247.94,-119.62,1508.98,833.93,57089.50,-3289.99,-4105.46,-15.71,836.02,2023FY,2023
79,600080,金花股份,946.29,211.0136,94.24,24596.55,-3.6825,5740.48,14080.47,2473.72,-96.29,842.19,268.67,23309.24,959.85,924.98,,-772.76,2024HY,2024
80,600080,金花股份,3077.02,807.5952,437.80,41893.12,4.0035,9223.42,25071.75,3648.11,-158.96,2028.30,396.06,40208.68,3285.42,3245.72,,-843.67,2024Q3,2024
81,600080,金花股份,121.35,-94.9358,49.95,10732.26,-7.3122,2552.51,5361.15,901.14,-137.46,1169.14,105.17,9951.66,68.68,63.09,1.79,0.77,2025Q1,2025
82,600080,金花股份,7360.05,271.6005,872.06,58546.18,3.5476,12681.13,35365.65,5367.11,137.41,2896.29,539.74,56987.34,4901.91,4203.93,-26.01,-998.48,2024FY,2024
83,600080,金花股份,618.32,-34.6585,70.56,24129.30,-1.8997,5649.64,13872.08,2080.24,-227.21,1542.88,267.20,23184.83,396.51,393.40,17.19,-722.40,2025HY,2025
84,600080,金花股份,3423.74,11.2680,-274.39,38390.84,-8.3600,9002.09,22422.03,3382.89,-339.01,2233.10,441.50,37142.60,3477.90,3533.59,25.84,746.20,2025Q3,2025
85,000999,华润三九,249701.11,18.9850,21739.40,1807946.15,16.3085,831313.35,507662.39,105861.01,550.75,59394.17,20705.52,1525487.19,294721.82,296343.65,-13827.04,-597.45,2022FY,2022
86,000999,华润三九,122946.00,44.7097,3993.79,635240.83,49.4605,291734.17,140340.51,30911.31,-730.61,13259.70,6590.35,482105.42,151389.90,150985.28,-2358.57,-3188.98,2023Q1,2023
87,000999,华润三九,,,16541.07,1860800.60,53.6490,897064.61,476731.86,103959.53,-2051.99,45844.32,19381.92,1540930.27,325029.39,324972.18,-7807.08,-4268.35,2023Q3,2023
88,000999,华润三九,205985.96,42.1967,9145.20,1314612.57,56.4839,628145.19,328866.86,67744.76,-1318.54,29521.12,13589.28,1066548.66,249903.51,249542.55,-1789.89,-5826.77,2023HY,2023
89,000999,华润三九,317347.87,27.0911,28586.86,2473896.33,36.8346,1156722.47,696547.52,152353.64,-2419.17,71450.22,27491.35,2102146.03,375337.57,375445.32,-17263.53,-6777.79,2023FY,2023
90,000999,华润三九,145316.82,18.1956,4657.10,729407.06,14.8237,339753.17,156144.56,33868.32,-2365.62,13741.74,7524.69,548666.87,179789.06,180314.56,-2053.82,-3823.32,2024Q1,2024
91,000999,华润三九,,,19199.90,1974028.70,6.0849,934105.50,475116.16,107353.50,-1332.65,51218.20,20166.60,1586627.31,388684.20,398460.34,-11089.66,-10029.57,2024Q3,2024
92,000999,华润三九,257705.34,25.1082,14385.47,1410601.28,7.3017,655037.13,331144.45,70626.53,-2467.05,32646.31,14997.87,1101985.24,314745.62,315915.87,-2518.92,-7223.25,2024HY,2024
93,000999,华润三九,377774.13,19.0410,28971.43,2761661.18,11.6320,1329562.41,722012.08,165780.52,-2419.14,80174.97,29478.48,2324589.32,447503.09,459361.07,-16328.64,-9405.46,2024FY,2024
94,000999,华润三九,133137.83,-8.3810,7513.78,685365.64,-6.0380,320214.26,149819.89,35144.04,149.20,14449.85,7814.24,527591.48,166238.03,166438.30,808.46,171.55,2025Q1,2025
95,000999,华润三九,,,23843.14,2198640.40,11.3783,1021977.42,612817.80,130464.40,2040.28,84033.30,26434.52,1877767.72,342564.02,343060.99,-7719.69,-4677.28,2025Q3,2025
96,000999,华润三九,221158.88,-14.1815,18577.92,1481016.02,4.9918,688016.63,393865.17,82919.63,736.61,45903.93,18113.56,1229555.53,262093.86,262539.21,-5163.06,-2709.39,2025HY,2025
